Ethnicity,Count,Prop(F),Prop(M),Prop(D),Prop(T)
African American/Black,947,0.581837381,0.41499472,0.003167899,0.032309792
Mexican American/Chicano,3056,0.592277487,0.406740838,0.000981675,0.104264756
Other Hispanic/Latino,1102,0.567150635,0.432849365,0,0.037598089
Native American/Alaska Native,172,0.581395349,0.412790698,0.005813953,0.005868304
Pacific Islander,58,0.568965517,0.431034483,0,0.001978847
Chinese,5050,0.513267327,0.484158416,0.002574257,0.172296145
Filipino,867,0.587081892,0.412918108,0,0.029580348
Japanese,461,0.570498915,0.429501085,0,0.01572842
Korean,1347,0.489977728,0.509279881,0.00074239,0.045957011
Other Asian,331,0.570996979,0.429003021,0,0.011293074
South Asian,2240,0.464732143,0.533035714,0.002232143,0.076424429
Vietnamese,907,0.579933848,0.420066152,0,0.03094507
White,7594,0.500395049,0.497498025,0.002106927,0.25909246
Decline to State,1199,0.420350292,0.420350292,0.159299416,0.04090754
International,3979,0.488313647,0.503895451,0.007790902,0.135755715
Total,29310,0.516751962,0.474240873,0.009007165,1
Underrepresented Minority Subtotal,5277,0.584801971,0.413871518,0.001326511,0.180040942
,,,,,
